halt_id,halt_diva,halt_kurz,halt_lang,halt_ist_aktiv
2020,1964,OZEN,"Oetwil an der Limmat, Zentrum",True
2021,1039,DRAP,"Dietikon, Rapidplatz",True
2022,2128,ROES,"Zürich, Röslistrasse",True
2023,6055,DEP2,"Zürich, Depot 2 Wollishofen",True
2025,3044,BWST,"Zch, Bhf.Wollishofen/Staubstr.",True
2027,2975,ZELG07,"Dübendorf, Zelglistrasse",True
2028,125,AUSW,"Weiningen ZH, Ausserdorf",True
2029,2303,SWAK,"Geroldswil, Schweizäcker",True
2030,6234,SCHN,"Schlieren, Bahnhof Nord",True
2033,2051,REIT,"Schlieren, Reitmen",True
2034,2982,ZENT,"Geroldswil, Zentrum",True
2035,2054,RENN,"Zürich, Rennweg",True
2036,2984,OBEE,"Oberengstringen, Zentrum",True
2038,2313,SBAC,"Dietikon, Schäflibach",True
2039,1226,HACK,"Dietikon, Hofacker",True
2040,1054,GRUZ07,"Dübendorf, Grüzenstrasse",True
2042,2406,SOME,"Dietikon, Sommerau",True
2043,2236,SCHL,"Schlieren, Zentrum/Bahnhof",True
2044,2238,SCHS,"Urdorf, Schlierenstrasse",True
2045,1061,GUGG,"Zürich, Guggachstrasse",True
2046,2326,SCHO,"Zürich, Schörlistrasse",True
2047,2411,SONN,"Zürich, Sonneggstrasse",True
2048,990,GJUC,"Dietikon, Gjuchstrasse",True
2050,1151,HEIM,"Schlieren, Heimeliweg",True
2052,998,GLAT,"Zürich, Glattwiesen",True
2053,1414,KWIL07,"Dübendorf, Kirche Wil",True
2054,1417,KIPL,"Dietikon, Kirchplatz",True
2055,6261,STHA,"Dietikon, Stadthalle Ost",True
2056,6262,DSIL,"Dietikon, Silbern",True
2057,414,BSTD,"Dietikon, Bahnhofstrasse",True
2059,502,BIRM,"Dietikon, Birmensdorferstrasse",True
2060,2256,SWIE,"Zürich, Schmiede Wiedikon",True
2061,2085,RIEW,"Bergdietikon, Rietwies",True
2063,425,DBAL,"Bergdietikon, Baltenschwil",True
2068,1004,BALD01,"Adliswil, Baldernstrasse",True
2078,6659,WNEU07,"Wallisellen, Neugut",True
2079,6660,DARI07,"Dübendorf, Am Ring",True
2080,6774,DHON07,"Dübendorf, Hochbord Nord",True
2081,6032,DEP7,"Zürich, Depot 7 Irchel",True
2082,3785,RINW07,"Dübendorf, Ringwiesen",True
2083,132,ZAUZ,"Zürich, Auzelg",True
2084,1453,KREU,"Zürich, Kreuzplatz",True
2085,1522,LAUI,"Zürich, Laubiweg",True
2086,435,BECK,"Zürich, Beckenhof",True
2087,1468,KRON,"Zürich, Kronenstrasse",True
2088,2474,STAM,"Zürich, Stampfenbachplatz",True
2089,2045,REGB,"Zürich, Regensbergbrücke",True
2090,144,BADA,"Zürich, Bad Allenmoos",True
2092,2549,REHA,"Zürich, Rehalp",True
2094,2807,WABG,"Waldburg, Station",True
2096,2826,WALT,"Zumikon, Waltikon",True
2099,3756,SZOL,"Zollikerberg, Spital",True
2103,3002,ZOBE,"Zollikerberg, Station",True
2104,1845,OPER,"Zürich, Opernhaus",True
2109,8809,FCH,Forch,True
2110,2879,WETL,"Zürich, Wetlistrasse",True
2111,3039,BSTA,"Zürich, Bahnhof Stadelhofen",True
2113,1144,HEGI,"Zürich, Hegibachplatz",True
2114,6254,LAEN,"Zollikerb., Langägerten/Spital",True
2120,2166,SCHE,"Scheuren, Station",True
2121,421,BALG,"Zürich, Balgrist",True
2137,2612,SUNN,"Zürich, Sunnau",True
2139,649,DANG,"Zürich, Dangelstrasse",True
2141,2660,TIAK01,"Adliswil, Tiefacker",True
2142,6592,ADMO,"Adliswil, Moos",True
2143,6593,EWEG,"Adliswil, Eichenweg",True
2144,6034,GAR6,"Zürich, Garage 6 Hardau",True
2145,2950,WOLP,"Zürich, Wollishoferplatz",True
2146,2889,WIDM,"Zürich, Widmerstrasse",True
2158,148,ABAD01,"Adliswil, Badstrasse",True
2160,6437,GRUT,"Adliswil, Grüt",True
2183,2771,SIHN,"Zürich, Sihlcity Nord",True
2187,6735,WGLA07,"Wallisellen, Glatt (Tram)",True
2198,944,GEER,"Zürich, Geeringstrasse",True
2228,601,KANB,"Zürich, Kantonalbank",True
2244,1364,KAPP,"Zürich, Kappeli",True
2245,1548,LETG,"Zürich, Letzigrund",True
2247,1386,KERN,"Zürich, Kernstrasse",True
2248,1579,LOCH,"Zürich, Lochergut",True
2250,3019,ZYPR,"Zürich, Zypressenstrasse",True
2251,6030,DEP4,"Zürich, Depot 4 Elisabethenstr",True
2253,883,FREI,"Zürich, Freihofstrasse",True
2254,6425,DEP1,"Zürich, Depot1 Zentralwerkst",True
2256,1608,LOEW,"Zürich, Löwenplatz",True
2257,6459,ZOER,"Zürich, Oerlikerhus",True
2258,1098,HALB,"Zürich, Haldenbach",True
2260,2367,RIGI,"Zürich, Seilbahn Rigiblick",True
2262,1366,SIHP,"Zürich, Sihlpost / HB",True
2274,1550,LETZ,"Zürich, Letzistrasse",True
2275,2388,SIGN,"Zürich, Signaustrasse",True
2276,465,BERN,"Zürich, Berninaplatz",True
2287,1557,LIMM,"Zürich, Limmatplatz",True
2289,2395,SIHL,"Zürich, Sihlquai/HB",True
2290,648,LOEB,"Zürich, Löwenbräu",True
2292,1399,KINK,"Zürich, Kinkelstrasse",True
2293,2924,WINK,"Zürich, Winkelriedstrasse",True
2294,1667,MUFG,"Zürich, Museum für Gestaltung",True
2295,580,BURG,"Zürich, Burgwies",True
2298,2014,QUEL,"Zürich, Quellenstrasse",True
2299,6031,DEP5,"Zürich, Depot 5 Hard",True
2300,6033,DEP8,"Zürich, Depot 8 Oerlikon",True
2301,6035,GAR9,"Zürich, Garage 9 Hagenholz",True
2302,1100,HEGG,"Zürich, Haldenegg",True
2308,1138,HEDW,"Zürich, Hedwigsteig",True
2312,894,ENZE,"Zürich, Friedhof Enzenbühl",True
2313,2151,SALE,"Zürich, Salersteig",True
2315,1507,LANM,"Zürich, Langmauerstrasse",True
2316,2575,BSTE,"Zürich, Bahnhof Stettbach",True
2320,705,DOZE,"Zumikon, Dorfzentrum",True
2324,1516,LANZ,"Oberengstringen, Lanzrain",True
2326,81,ALTZ07,"Dübendorf, Alterszentrum",True
2327,3520,BRUL,"Spreitenbach, Brüel",True
2328,2436,SPLI,"Schlieren, Spital Limmattal",True
2329,6364,STIE07,"Wangen, Stierwisen",True
2332,1178,URDN,"Urdorf, Urdorf-Nord",True
2333,2268,SWEI,"Weiningen ZH, Schulhaus",True
2334,3183,AEGW,"Weiningen ZH, Aegelsee",True
2336,1265,HATS,"Dietikon, Hätschen",True
2337,1266,WHAE07,"Wangen, Hätzelwisen",True
2338,1091,HAGA,"Dietikon, Hagackerstrasse",True
2339,1094,OHAL,"Oetwil an der Limmat, Halde",True
2341,2440,SPIT,"Urdorf, Spitzacker",True
2346,1616,MARW,"Dietikon, Marmori-Weiher",True
2348,6808,OSCH07,"Opfikon, Schwimmbad",True
2350,6462,IKEA,"Spreitenbach, IKEA",True
2351,6297,HEIN,"Urdorf, Heinrich-Stutz-Strasse",True
2352,6724,ULAN,"Unterengstringen, Langwisen",True
2354,701,DOGE,"Geroldswil, Dorfstrasse",True
2356,1620,MATT,"Zürich, Mattenhof",True
2358,1451,DKRE07,"Dübendorf, Kreuzbühl",True
2360,3460,ASPS,"Spreitenbach, Asp",True
2361,1540,LERZ,"Dietikon, Lerzen",True
2362,2631,TAWI,"Schlieren, Talacker-Windegg",True
2363,457,BERL,"Bergdietikon, Bergli",True
2366,3727,GLAN,"Glanzenberg, Bahnhof",True
2367,547,BRUN,"Zürich, Brunaustrasse",True
2368,548,BRUS,"Fahrweid, Brunaustrasse",True
2369,3472,SWER,"Dietikon, Schönenwerd",True
2370,2384,SCEN,"Spreitenbach, Shopping Center",True
2373,1725,NEUT,"Urdorf, Neumatt",True
2374,1726,NMAT,"Urdorf, Neumattstrasse",True
2375,2814,WALD,"Zürich, Waldgarten",True
2376,466,BOLD,"Bergdietikon, Bernold",True
2377,6744,RIST,"Birmensdorf ZH, Ristet",True
2378,1556,LIMB,"Fahrweid, Limmatbrücke",True
2379,2471,STAF,"Dietikon, Staffelackerstrasse",True
2380,550,BRUG,"Schlieren, Brunngasse",True
2381,725,DOER,"Dietikon, Dörfli",True
2382,1388,SKES,"Schlieren, Kesslerplatz",True
2383,1640,MICA,"Zürich, Micafil",True
2385,729,DUEN,"Bergdietikon, Dünni",True
2386,2732,UITI,"Urdorf, Uitikonerstrasse",True
2387,3822,BKIS,"Killwangen, Bahnhof",True
2388,6663,SPAL,"Spreitenbach, Altersheim",True
2389,815,FAAU,"Fahrweid, Au",True
2391,1731,NURD,"Urdorf, Niederurdorf",True
2392,2569,STEA,"Dietikon, Stelzenacker",True
2394,2399,DMOO,"Dietikon, Moosmatt",True
2396,1397,KIND,Kindhausen AG,True
2397,6586,SSHT,"Spreitenbach, Shoppi Tivoli",True
2398,3748,STAK,"Schlieren, Steinacker",True
2399,2743,UDUB07,"Dübendorf, Unterdorf",True
2400,1911,PDUB07,"Dübendorf, Post",True
2401,1571,WLIN,"Weiningen ZH, Lindenplatz",True
2404,488,BILO,"Zürich, Billoweg",True
2406,2666,TIER,"Zürich, Tierspital",True
2410,743,ECKS,"Unterengstringen, Eckstein",True
2411,748,EGGB,"Oberengstringen, Eggbühl",True
2412,3589,OBUR,"Urdorf, Oberurdorf",True
2413,1666,MUSR,"Zürich, Museum Rietberg",True
2414,2582,STOC,"Zürich, Stockerstrasse",True
2422,1179,HERZ,"Zürich, Herzogenmühlestrasse",True
2423,6626,BLUM,"Zürich, Blumenfeldstrasse",True
2424,6627,ASPH,"Zürich, Aspholz",True
2425,6628,MUEH,"Zürich, Mühlacker",True
2426,3444,GLOK,"Zürich, Glockenacker",True
2427,1527,LEEA,"Ebmatingen, Leeacherstrasse",True
2428,617,ZENW,"Zürich, Zentrum Witikon",True
2429,1705,NEUA,"Zürich, Neuaffoltern",True
2430,445,BEBO,"Benglen, Bodenacher",True
2431,446,BGER,"Benglen, Gerlisbrunnen",True
2432,2622,SAGG,"Pfaffhausen, Sängglen",True
